Body_Type,Kilometers_Driven,Owner_Count,oem,model,modelYear,price,Fuel_Type,Transmission,Engine_CC,Length_mm,Height_mm,Wheel_Base_mm,Kerb_weight_kg,Tyre_Type,Mileage_Kmpl,Max_Power_BHP,Torque_Nm,Seats,Wheel_size,City
Sedan,49873,1,Honda,Honda City,2013,533000.0,Petrol,Manual,1497.0,4440.0,1485.0,2550.0,1095.0,TubelessRadial,16.8,116.3,146.0,5.0,15.0,Bangalore
Hatchback,90000,3,Volkswagen,Volkswagen Polo,2013,850000.0,Petrol,Automatic,1197.0,3970.0,1453.0,2456.0,1380.0,TubelessRadial,17.2,103.6,175.0,5.0,15.0,Bangalore
Sedan,48960,2,Skoda,Skoda Rapid,2017,751000.0,Diesel,Manual,1498.0,4413.0,1466.0,2552.0,1192.0,TubelessRadial,21.13,108.6,250.0,5.0,15.0,Bangalore
Hatchback,70000,2,Hyundai,Hyundai Grand i10,2014,388000.0,Diesel,Manual,1120.0,3765.0,1520.0,2425.0,1025.0,Tubeless,24.0,70.0,160.0,5.0,15.697549201633866,Bangalore
Hatchback,68000,2,Hyundai,Hyundai i20,2013,490000.00000000006,Petrol,Manual,1197.0,3995.0,1505.0,2525.0,1040.0,TubelessRadial,18.5,82.85,113.7,5.0,14.0,Bangalore
SUV,23017,1,Mahindra,Mahindra KUV 100,2016,494000.00000000006,Diesel,Manual,1198.0,3675.0,1655.0,2385.0,1135.0,TubelessRadial,25.32,77.0,190.0,6.0,15.697549201633866,Bangalore
Hatchback,83000,2,Hyundai,Hyundai i20,2013,525000.0,Diesel,Manual,1396.0,3995.0,1505.0,2525.0,1120.0,TubelessRadial,21.27,88.76,219.6,5.0,14.0,Bangalore
SUV,92000,2,BMW,BMW X3,2016,2890000.0,Diesel,Automatic,1995.0,4708.0,1676.0,2864.0,1865.0,TubelessRadial,16.55,187.74,400.0,5.0,19.0,Bangalore
Hatchback,62139,1,Maruti,Maruti Wagon R,2018,550000.0,Petrol,Manual,998.0,3636.0,1670.0,2400.0,890.0,Tubeless,20.51,67.04,90.0,5.0,15.697549201633866,Bangalore
Hatchback,74000,1,Hyundai,Hyundai i10,2013,365000.0,LPG,Manual,1086.0,3585.0,1550.0,2380.0,860.0,TubelessRadial,19.2,68.05,99.04,5.0,13.0,Bangalore
Hatchback,26500,2,Renault,Renault KWID,2016,420000.0,Petrol,Automatic,999.0,3679.0,1478.0,2422.0,730.0,TubelessRadial,24.04,67.0,91.0,5.0,15.697549201633866,Bangalore
Sedan,81716,1,Volvo,Volvo S60,2017,1895000.0,Diesel,Automatic,1969.0,4635.0,1484.0,2776.0,1652.0,TubelessRadial,27.03,190.0,400.0,5.0,17.0,Bangalore
Sedan,24000,2,Mercedes-Benz,Mercedes-Benz E-Class,2018,5990000.0,Diesel,Automatic,2987.0,5063.0,1494.0,3079.0,1835.0,TubelessRadial,17.0,254.8,620.0,5.0,17.0,Bangalore
SUV,10000,1,Mahindra,Mahindra XUV300,2022,1050000.0,Petrol,Automatic,1197.0,3995.0,1627.0,2600.0,1345.0,TubelessRadial,17.0,108.6,200.0,5.0,15.697549201633866,Bangalore
SUV,18000,1,MG,MG Hector Plus,2021,2075000.0,Petrol,Automatic,1451.0,4720.0,1760.0,2750.0,1820.0,TubelessRadial,16.56,141.0,250.0,6.0,18.0,Bangalore
Hatchback,38197,1,Honda,Honda Brio,2013,394000.0,Petrol,Manual,1198.0,3610.0,1500.0,2345.0,925.0,TubelessRadial,19.4,86.8,109.0,5.0,15.697549201633866,Bangalore
Hatchback,23000,2,Maruti,Maruti Baleno,2017,725000.0,Petrol,Automatic,1197.0,3995.0,1510.0,2520.0,910935.0,TubelessRadial,19.56,81.8,113.0,5.0,16.0,Bangalore
Hatchback,50000,1,Maruti,Maruti Alto K10,2013,240000.0,Petrol,Manual,998.0,3620.0,1460.0,2360.0,760.0,TubelessRadial,20.92,67.1,90.0,5.0,13.0,Bangalore
SUV,10000,1,Renault,Renault Kiger,2022,835000.0,Petrol,Automatic,999.0,3991.0,1605.0,2500.0,1086.0,TubelessRadial,19.03,71.01,96.0,5.0,16.0,Bangalore
Hatchback,19000,1,Hyundai,Hyundai Grand i10,2019,695000.0,Petrol,Manual,1197.0,3765.0,1520.0,2425.0,1060.0,Tubeless,18.9,81.86,113.75,5.0,14.0,Bangalore
SUV,14000,1,Kia,Kia Seltos,2020,1725000.0,Petrol,Automatic,1353.0,4315.0,1645.0,2610.0,1535.0,TubelessRadial,16.5,138.08,242.0,5.0,17.0,Bangalore
Hatchback,29268,1,Hyundai,Hyundai EON,2014,330000.0,Petrol,Manual,814.0,3495.0,1500.0,2380.0,910.0,Tubeless,21.1,55.2,74.5,5.0,15.697549201633866,Bangalore
Sedan,20000,1,Volkswagen,Volkswagen Vento,2019,990000.0,Petrol,Automatic,1197.0,4390.0,1467.0,2553.0,1179.0,TubelessRadial,18.19,103.2,175.0,5.0,15.0,Bangalore
